                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4452,                 8.0099,                  1.169,                0.18976,                0.34359,                0.16714,                0.14156,                0.61733,                 2.8814,                0.85899,              0.0032593,              0.0032593,              0.0032593
                      2,                 1.0465,                 2.9596,                  1.062,                0.35414,                0.49043,                0.29348,                0.23038,                0.78857,                 2.5043,                0.90743,              0.0065795,              0.0065795,              0.0065795
                      3,                 1.0506,                 2.6339,                 1.0431,                0.18339,                0.51032,                0.31669,                0.22372,                0.95741,                 3.5174,                0.95208,              0.0098866,              0.0098866,              0.0098866
                      4,                 1.1202,                 2.5061,                 1.0752,                0.46947,                0.41016,                0.36944,                 0.2828,                0.86159,                 2.9951,                0.91038,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.0722,                 2.2121,                 1.0782,                 0.1924,                0.32665,                0.20481,                0.16017,                0.96012,                 2.9893,                 1.0263,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.0908,                  2.092,                 1.1065,                0.25228,                0.56075,                0.32244,                0.25531,                0.82102,                 2.1102,                0.97023,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.0556,                 1.9868,                 1.0791,                0.24534,                0.48129,                0.35328,                0.28106,                0.77034,                 2.2177,                0.93928,               0.009901,               0.009901,               0.009901
                      8,                 1.0103,                 1.9568,                 1.0915,                0.24521,                0.60119,                0.40442,                 0.3306,                0.72477,                 2.0812,                0.94463,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.0273,                  1.882,                 1.0846,                0.24702,                0.54027,                0.36521,                0.28806,                0.80507,                 2.3639,                0.99136,              0.0098614,              0.0098614,              0.0098614
                     10,                0.99139,                 1.8352,                  1.084,                 0.2151,                0.42302,                0.27245,                0.19639,                 1.3437,                 24.143,                 1.2858,              0.0098416,              0.0098416,              0.0098416
                     11,                0.94936,                 1.7651,                 1.0884,                0.28901,                0.63479,                0.52274,                0.43122,                0.67568,                 1.8314,                0.93955,              0.0098218,              0.0098218,              0.0098218
                     12,                0.96698,                 1.7655,                  1.091,                0.19531,                0.34287,                0.28645,                0.23576,                 0.8574,                 2.8943,                 1.0931,               0.009802,               0.009802,               0.009802
                     13,                  0.957,                 1.7229,                 1.0907,                0.36105,                0.58926,                0.49704,                 0.3886,                0.59769,                  2.016,                0.92091,              0.0097822,              0.0097822,              0.0097822
                     14,                0.93912,                 1.6659,                 1.0803,                0.31443,                0.59456,                 0.4954,                0.40301,                0.63747,                  1.695,                0.95637,              0.0097624,              0.0097624,              0.0097624
                     15,                0.93427,                 1.6687,                 1.0769,                0.40653,                0.56121,                0.55848,                0.46844,                0.62294,                 1.5251,                0.97354,              0.0097426,              0.0097426,              0.0097426
                     16,                0.91414,                 1.6079,                  1.072,                0.26422,                0.73972,                0.55999,                0.45988,                0.62134,                 1.5395,                0.95594,              0.0097228,              0.0097228,              0.0097228
                     17,                0.89586,                 1.5625,                 1.0811,                0.22958,                0.56107,                0.42732,                 0.3477,                0.63923,                 2.2973,                0.97586,               0.009703,               0.009703,               0.009703
                     18,                0.88723,                 1.5115,                 1.0716,                0.25848,                0.53058,                 0.4599,                0.37834,                0.65562,                  2.158,                0.94014,              0.0096832,              0.0096832,              0.0096832
                     19,                0.90469,                 1.5351,                 1.0777,                0.37894,                0.67122,                0.62692,                0.53388,                0.62363,                 1.4888,                0.96162,              0.0096634,              0.0096634,              0.0096634
                     20,                0.86935,                 1.4666,                 1.0555,                0.34455,                0.81285,                0.59625,                0.52524,                0.54196,                 1.3602,                0.93314,              0.0096436,              0.0096436,              0.0096436
                     21,                0.85327,                 1.4837,                 1.0569,                0.37904,                0.74664,                0.66957,                  0.559,                0.61502,                 1.2511,                0.96284,              0.0096238,              0.0096238,              0.0096238
                     22,                0.85949,                 1.4055,                   1.06,                0.40045,                0.74075,                0.62227,                0.51789,                0.54295,                 1.4054,                0.92304,               0.009604,               0.009604,               0.009604
                     23,                 0.8585,                  1.425,                 1.0605,                0.33273,                0.74284,                 0.5458,                0.46027,                0.61586,                 1.4524,                0.95296,              0.0095842,              0.0095842,              0.0095842
                     24,                0.84355,                 1.4086,                  1.043,                0.39398,                 0.7527,                 0.6291,                0.53179,                0.56484,                  1.251,                0.93937,              0.0095644,              0.0095644,              0.0095644
